"","id","microcosmo","temp","microcosmo","CE","microcosmo","pCO2"
"1",1,"control",29.4107338663788,"control",155.243987424949,"control",501.933431362276
"2",2,"control",29.7344260603064,"control",114.657204568226,"control",538.386164498375
"3",3,"control",31.4875341478661,"control",101.820742121053,"control",566.102006741886
"4",4,"control",30.0290982235961,"control",98.5032597122345,"control",567.871996914125
"5",5,"control",30.0867019804577,"control",118.245525604231,"control",527.527428814643
"6",6,"control",31.6407636871456,"control",113.326173458437,"control",525.063893191605
"7",7,"control",30.4116978818694,"control",136.306763696328,"control",527.978165068262
"8",8,"control",28.7202399900856,"control",118.423211899324,"control",550.897623855552
"9",9,"control",29.2868842051443,"control",122.275261782967,"control",490.827243759687
"10",10,"control",29.523251269302,"control",97.7387376348042,"control",542.407780710393
"11",11,"control",31.1596001614907,"control",117.660496761256,"control",530.414278604701
"12",12,"control",30.3126175505162,"control",117.198515084701,"control",524.201289197814
"13",13,"control",30.3527560215822,"control",100.84209207952,"control",501.027636224963
"14",14,"control",30.0684690616262,"control",107.928719140588,"control",534.081026969505
"15",15,"control",29.415275687941,"control",108.503650119193,"control",507.58331765771
"16",16,"control",31.711174874067,"control",133.091213351607,"control",537.578947448189
"17",17,"control",30.4478934686647,"control",129.199068721155,"control",521.429605200854
"18",18,"control",28.032715186503,"control",131.17138477664,"control",538.71043013601
"19",19,"control",30.6473287835324,"control",141.458179334414,"control",546.324034897486
"20",20,"control",29.4966644204266,"control",116.482634221286,"control",528.611356234246
"21",21,"control",28.9135327681329,"control",138.237002920787,"control",519.088764343874
"22",22,"control",29.7463845836349,"control",117.287476619721,"control",526.628412675004
"23",23,"control",28.9545156406589,"control",137.848360897671,"control",525.606655280982
"24",24,"control",29.2456865952947,"control",103.010954491586,"control",510.443455778542
"25",25,"control",29.3474615175077,"control",112.3932251862,"control",523.527849592682
"26",26,"control",28.3070405554724,"control",134.337994792679,"control",534.309081724023
"27",27,"control",30.7810313036046,"control",145.096818790241,"control",533.805500432083
"28",28,"control",30.1103056554798,"control",120.567830137753,"control",543.910386344331
"29",29,"control",28.8446258017283,"control",116.339525601418,"control",561.578838276548
"30",30,"control",31.1887386226485,"control",130.182926518283,"control",543.986200141349
"31",31,"control",30.3779349370473,"control",119.385493766657,"control",564.955448856264
"32",32,"control",29.6708299466676,"control",121.32702759864,"control",525.964079287735
"33",33,"control",30.8372231478241,"control",124.777006985102,"control",562.658272007606
"34",34,"control",30.8205708177824,"control",136.884258783645,"control",548.754987547531
"35",35,"control",30.7651494600047,"control",105.721917083597,"control",515.980224867103
"36",36,"control",30.6348674490181,"control",114.749455464318,"control",545.243859789229
"37",37,"control",30.5028393004668,"control",129.810622087117,"control",515.135959447144
"38",38,"control",29.8993265236348,"control",90.1312607619799,"control",555.2511552057
"39",39,"control",29.6601565895349,"control",139.862108002256,"control",527.950260777294
"40",40,"control",29.5871384190079,"control",111.75124832335,"control",533.525016966008
"41",41,"control",29.2791871606579,"control",106.028518639122,"control",525.383710063002
"42",42,"control",29.7562410675408,"control",123.553153836465,"control",522.214006552192
"43",43,"control",28.7199115754631,"control",153.430421400534,"control",569.111285060853
"44",44,"control",32.0855768460317,"control",111.408803249328,"control",556.069531040495
"45",45,"control",31.1438027583389,"control",99.5178480266082,"control",550.256912094224
"46",46,"control",28.8593535884607,"control",119.204504976207,"control",539.211662447312
"47",47,"control",29.5651728614069,"control",138.051580514697,"control",551.379088835171
"48",48,"control",29.5026777534492,"control",117.122985236978,"control",550.009046584177
"49",49,"control",30.7243658159696,"control",129.802177421928,"control",567.30063818628
"50",50,"control",29.8782983148576,"control",137.854567081314,"control",553.46673032798
"51",51,"control",30.2082521437149,"control",96.3479192971173,"control",534.07436984144
"52",52,"control",29.9320241797583,"control",129.807069683482,"control",533.914565561748
"53",53,"control",29.9179869518545,"control",113.653135205306,"control",529.266187718789
"54",54,"control",31.3012302383342,"control",120.268293015854,"control",531.181760023421
"55",55,"control",29.7387444340539,"control",153.592847674817,"control",533.514482870862
"56",56,"control",31.4461411923409,"control",124.777800035354,"control",560.312090562624
"57",57,"control",28.4422222518544,"control",132.853862901048,"control",495.111317143663
"58",58,"control",30.5329214746433,"control",106.819548887343,"control",524.974110590386
"59",59,"control",30.0813771589677,"control",127.350369902602,"control",535.420309992428
"60",60,"control",30.1716227373691,"control",119.343205155303,"control",514.299375707091
"61",61,"control",30.3320466931047,"control",117.7763017768,"control",567.586687201538
"62",62,"control",29.4677230159529,"control",129.197923120152,"control",533.564709193422
"63",63,"control",29.633456764004,"control",99.3778889538294,"control",517.353383110918
"64",64,"control",28.9617961245551,"control",141.237031540159,"control",521.489970874156
"65",65,"control",28.9096445980539,"control",154.136916650639,"control",553.877175183747
"66",66,"control",30.2574580685762,"control",114.750239601923,"control",572.175011491655
"67",67,"control",30.3992455830568,"control",128.631914137711,"control",535.578430270007
"68",68,"control",30.0119441421959,"control",150.828832254565,"control",539.825048903429
"69",69,"control",30.8638221185221,"control",108.375425453048,"control",520.444896297388
"70",70,"control",31.9690829919146,"control",121.811448892277,"control",562.033596888988
"71",71,"control",29.4787894572646,"control",154.51285683988,"control",551.127981167712
"72",72,"control",27.697014501872,"control",107.750733612894,"control",495.094906421936
"73",73,"control",30.945623753973,"control",134.946223759234,"control",526.01353045879
"74",74,"control",29.2649832526693,"control",127.976824608264,"control",533.56160280389
"75",75,"control",29.285751555862,"control",115.879148052675,"control",517.514170036734
"76",76,"control",30.9650599423028,"control",126.362404190841,"control",532.843604135944
"77",77,"control",29.68092245309,"control",116.326502351214,"control",517.050020407709
"78",78,"control",28.7636966419906,"control",132.125162170075,"control",544.456894030493
"79",79,"control",30.1376774101542,"control",113.761625243792,"control",544.022437864564
"80",80,"control",29.8238864648097,"control",95.7215774359179,"control",552.749672723639
"81",81,"control",29.9656489021819,"control",132.888838999477,"control",545.50613465574
"82",82,"control",30.3375747931038,"control",137.50345305998,"control",567.127933753357
"83",83,"control",29.5967531688434,"control",122.742853411915,"control",530.77050857299
"84",84,"control",30.5914890175485,"control",109.126368800587,"control",498.325350173867
"85",85,"control",29.7439231694176,"control",114.15174841604,"control",538.331103152147
"86",86,"control",30.2851463246374,"control",102.08351482689,"control",549.791224794668
"87",87,"control",31.0349022328864,"control",101.068542826833,"control",530.493314392945
"88",88,"control",30.3864778610171,"control",137.504409336927,"control",563.58009212934
"89",89,"control",29.6405870461794,"control",91.3638799415748,"control",557.959952940676
"90",90,"control",31.0858314660821,"control",129.208707996708,"control",547.728376968194
"91",91,"control",30.9336337788429,"control",115.574829094289,"control",539.141064552742
