"catedral_2019" "catedral_2020" "parque_2019" "parque_2020"
"1" 35 29 29.27 29.27
"2" 23.01 23 22.87 22.87
"3" 21.17 22.08 21.89 21.89
"4" 28.69 25.84 25.9 25.9
"5" 26.69 24.84 24.83 24.83
"6" 24.64 23.82 23.74 23.74
"7" 35.14 29.07 29.34 29.34
"8" 13.43 18.21 17.76 17.76
"9" 18.1 20.55 20.25 20.25
"10" 28.1 25.55 25.59 25.59
"11" 37.12 30.06 30.4 30.4
"12" 20.38 21.69 21.47 21.47
"13" 21.79 22.39 22.22 22.22
"14" 30.9 26.95 27.08 27.08
"15" 31.36 27.18 27.32 27.32
"16" 33.12 28.06 28.27 28.27
"17" 23.92 23.46 23.36 23.36
"18" 21.42 22.21 22.02 22.02
"19" 35.61 29.3 29.59 29.59
"20" 17.78 20.39 20.08 20.08
"21" 27.9 25.45 25.48 25.48
"22" 29.79 26.39 26.49 26.49
"23" 26.12 24.56 24.53 24.53
"24" 28.78 25.89 25.95 25.95
"25" 26.58 24.79 24.78 24.78
"26" 25.85 24.43 24.39 24.39
"27" 20.58 21.79 21.58 21.58
"28" 32.19 27.59 27.77 27.77
"29" 17.92 20.46 20.16 20.16
"30" 25.81 24.41 24.37 24.37
"31" 27.99 25.5 25.53 25.53
"32" 25.74 24.37 24.33 24.33
"33" 23.47 23.23 23.12 23.12
"34" 28.94 25.97 26.03 26.03
"35" 29.78 26.39 26.48 26.48
